Country,Population,Internet Users,Facebook Users
Austria,9006398,7920226,4467000
Belgium,11589623,10857126,7430000
Bulgaria,6948445,4663065,3858000
Croatia,4105267,3787838,2077000
Cyprus,1207359,1011831,989000
Czech Republic,10708981,9323428,4800000
Denmark,5792202,5666399,4070000
Estonia,1326535,1276521,752000
Finland,5540720,5225678,3206000
France,65273511,60421689,38540000
Germany,83783942,79127551,37430000
Greece,10423054,8115397,6070000
Hungary,9660351,8588776,6084000
Ireland,4937786,4453436,3210000
Italy,60461826,54798299,34940000
Latvia,1886198,1663739,740000
Lithuania,2722289,2603900,1780000
Luxembourg,625978,602848,369100
Malta,441543,389500,389500
Netherlands,17134872,16383879,11090000
Poland,37846611,29757099,18610000
Portugal,10196709,8015519,6876000
Romania,19237691,14387477,10860000
Slovakia,5459642,4629641,2713000
Slovenia,2078938,1663795,1067000
Spain,46754778,42961230,28450000
Sweden,10099265,9692227,8581261
